State;Filed week ended;Initial Claims;Reflecting Week Ended;Continued Claims;Covered Employment;Insured Unemployment Rate
Alabama;11/30/2019;2,032;11/23/2019;14,157;1,914,918;0.74
Alabama;12/07/2019;3,227;11/30/2019;15,961;1,914,918;0.83
Alabama;12/14/2019;2,362;12/07/2019;15,078;1,914,918;0.79
Alabama;12/21/2019;3,163;12/14/2019;15,146;1,914,918;0.79
Alabama;12/28/2019;3,200;12/21/2019;15,544;1,914,918;0.81
Alabama;01/04/2020;4,578;12/28/2019;18,523;1,923,741;0.96
Alabama;01/11/2020;3,629;01/04/2020;21,143;1,923,741;1.10
Alabama;01/18/2020;2,483;01/11/2020;17,402;1,923,741;0.90
Alabama;01/25/2020;2,129;01/18/2020;18,390;1,923,741;0.96
Alabama;02/01/2020;2,170;01/25/2020;17,284;1,923,741;0.90
Alabama;02/08/2020;2,176;02/01/2020;16,745;1,923,741;0.87
Alabama;02/15/2020;1,981;02/08/2020;16,571;1,923,741;0.86
Alabama;02/22/2020;1,735;02/15/2020;16,059;1,923,741;0.83
Alabama;02/29/2020;1,575;02/22/2020;14,721;1,923,741;0.77
Alabama;03/07/2020;1,663;02/29/2020;13,657;1,923,741;0.71
Alabama;03/14/2020;1,819;03/07/2020;13,070;1,923,741;0.68
Alabama;03/21/2020;10,892;03/14/2020;12,487;1,923,741;0.65
Alabama;03/28/2020;80,984;03/21/2020;18,083;1,923,741;0.94
Alabama;04/04/2020;106,739;03/28/2020;52,176;1,923,741;2.71
Alabama;04/11/2020;77,515;04/04/2020;95,325;1,929,897;4.94
Alabama;04/18/2020;66,432;04/11/2020;144,327;1,929,897;7.48
Alabama;04/25/2020;74,966;04/18/2020;173,855;1,929,897;9.01
Alabama;05/02/2020;28,985;04/25/2020;214,684;1,929,897;11.12
Alabama;05/09/2020;26,666;05/02/2020;216,856;1,929,897;11.24
Alabama;05/16/2020;25,150;05/09/2020;203,677;1,929,897;10.55
Alabama;05/23/2020;27,919;05/16/2020;190,205;1,929,897;9.86
Alabama;05/30/2020;21,335;05/23/2020;183,565;1,929,897;9.51
Alabama;06/06/2020;19,949;05/30/2020;180,245;1,929,897;9.34
Alabama;06/13/2020;18,367;06/06/2020;163,982;1,929,897;8.50
Alaska;01/05/2019;1,240;12/29/2018;10,560;306,445;3.45
Alaska;01/12/2019;1,805;01/05/2019;10,605;306,108;3.46
Alaska;01/19/2019;1,423;01/12/2019;10,505;306,108;3.43
Alaska;01/26/2019;1,119;01/19/2019;10,617;306,108;3.47
Alaska;02/02/2019;1,145;01/26/2019;10,175;306,108;3.32
Alaska;02/09/2019;1,029;02/02/2019;10,324;306,108;3.37
Alaska;02/16/2019;1,022;02/09/2019;9,707;306,108;3.17
Alaska;02/23/2019;904;02/16/2019;10,165;306,108;3.32
Alaska;03/02/2019;926;02/23/2019;9,334;306,108;3.05
Alaska;03/09/2019;949;03/02/2019;9,649;306,108;3.15
Alaska;03/16/2019;955;03/09/2019;8,934;306,108;2.92
Alaska;03/23/2019;850;03/16/2019;9,264;306,108;3.03
Alaska;03/30/2019;887;03/23/2019;8,523;306,108;2.78
Alaska;04/06/2019;891;03/30/2019;8,583;306,108;2.80
Alaska;04/13/2019;992;04/06/2019;7,853;305,751;2.57
Alaska;04/20/2019;862;04/13/2019;7,792;305,751;2.55
Alaska;04/27/2019;863;04/20/2019;7,604;305,751;2.49
Alaska;05/04/2019;823;04/27/2019;7,512;305,751;2.46
Alaska;05/11/2019;771;05/04/2019;7,280;305,751;2.38
Alaska;05/18/2019;819;05/11/2019;6,861;305,751;2.24
Alaska;05/25/2019;987;05/18/2019;6,601;305,751;2.16
Alaska;06/01/2019;973;05/25/2019;6,235;305,751;2.04
Alaska;06/08/2019;909;06/01/2019;6,375;305,751;2.09
Alaska;06/15/2019;733;06/08/2019;6,030;305,751;1.97
Alaska;06/22/2019;754;06/15/2019;5,869;305,751;1.92
Alaska;06/29/2019;689;06/22/2019;5,404;305,751;1.77
Alaska;07/06/2019;552;06/29/2019;5,310;305,751;1.74
Alaska;07/13/2019;696;07/06/2019;5,262;306,179;1.72
Alaska;07/20/2019;649;07/13/2019;5,065;306,179;1.65
Alaska;07/27/2019;619;07/20/2019;5,028;306,179;1.64
Alaska;08/03/2019;682;07/27/2019;4,875;306,179;1.59
Alaska;08/10/2019;693;08/03/2019;5,019;306,179;1.64
Alaska;08/17/2019;698;08/10/2019;4,886;306,179;1.60
Alaska;08/24/2019;701;08/17/2019;4,856;306,179;1.59
Alaska;08/31/2019;682;08/24/2019;4,616;306,179;1.51
Alaska;09/07/2019;687;08/31/2019;4,541;306,179;1.48
Alaska;09/14/2019;716;09/07/2019;4,510;306,179;1.47
Alaska;09/21/2019;808;09/14/2019;4,720;306,179;1.54
Alaska;09/28/2019;866;09/21/2019;4,730;306,179;1.54
Alaska;10/05/2019;856;09/28/2019;5,203;306,179;1.70
Alaska;10/12/2019;1,184;10/05/2019;5,094;306,493;1.66
Alaska;10/19/2019;1,005;10/12/2019;5,629;306,493;1.84
Alaska;10/26/2019;1,109;10/19/2019;6,260;306,493;2.04
Alaska;11/02/2019;1,166;10/26/2019;6,357;306,493;2.07
Alaska;11/09/2019;1,319;11/02/2019;7,103;306,493;2.32
Alaska;11/16/2019;1,194;11/09/2019;7,545;306,493;2.46
Alaska;11/23/2019;1,243;11/16/2019;8,527;306,493;2.78
Alaska;11/30/2019;941;11/23/2019;8,196;306,493;2.67
Alaska;12/07/2019;1,146;11/30/2019;9,537;306,493;3.11
Alaska;12/14/2019;949;12/07/2019;8,645;306,493;2.82
Alaska;12/21/2019;1,027;12/14/2019;9,772;306,493;3.19
Alaska;12/28/2019;860;12/21/2019;8,659;306,493;2.83
Alaska;01/04/2020;981;12/28/2019;10,177;306,493;3.32
Alaska;01/11/2020;1,371;01/04/2020;9,310;307,329;3.03
Alaska;01/18/2020;1,181;01/11/2020;9,984;307,329;3.25
Alaska;01/25/2020;1,003;01/18/2020;9,496;307,329;3.09
Alaska;02/01/2020;1,122;01/25/2020;9,579;307,329;3.12
Alaska;02/08/2020;980;02/01/2020;9,161;307,329;2.98
Alaska;02/15/2020;915;02/08/2020;9,343;307,329;3.04
Alaska;02/22/2020;773;02/15/2020;8,864;307,329;2.88
Alaska;02/29/2020;874;02/22/2020;8,938;307,329;2.91
Alaska;03/07/2020;815;02/29/2020;8,266;307,329;2.69
Alaska;03/14/2020;1,120;03/07/2020;8,522;307,329;2.77
Alaska;03/21/2020;7,847;03/14/2020;8,512;307,329;2.77
Alaska;03/28/2020;13,774;03/21/2020;11,173;307,329;3.64
Alaska;04/04/2020;14,590;03/28/2020;19,845;307,329;6.46
Alaska;04/11/2020;12,007;04/04/2020;35,365;308,137;11.48
Alaska;04/18/2020;12,201;04/11/2020;48,096;308,137;15.61
Alaska;04/25/2020;10,313;04/18/2020;52,022;308,137;16.88
Alaska;05/02/2020;8,718;04/25/2020;49,893;308,137;16.19
Alaska;05/09/2020;7,807;05/02/2020;50,971;308,137;16.54
Alaska;05/16/2020;7,741;05/09/2020;50,049;308,137;16.24
Alaska;05/23/2020;8,152;05/16/2020;48,000;308,137;15.58
Alaska;05/30/2020;7,452;05/23/2020;47,344;308,137;15.36
Alaska;06/06/2020;7,081;05/30/2020;47,123;308,137;15.29
Alaska;06/13/2020;6,797;06/06/2020;45,792;308,137;14.86
Arkansas;01/05/2019;3,478;12/29/2018;14,206;1,183,443;1.20
Arkansas;01/12/2019;2,552;01/05/2019;14,322;1,185,652;1.21
Arkansas;01/19/2019;1,804;01/12/2019;13,132;1,185,652;1.11
Arkansas;01/26/2019;1,720;01/19/2019;12,740;1,185,652;1.07
Arkansas;02/02/2019;1,843;01/26/2019;13,129;1,185,652;1.11
Arkansas;02/09/2019;1,804;02/02/2019;12,835;1,185,652;1.08
Arkansas;02/16/2019;1,789;02/09/2019;12,390;1,185,652;1.04
Arkansas;02/23/2019;1,450;02/16/2019;12,466;1,185,652;1.05
Arkansas;03/02/2019;1,826;02/23/2019;12,119;1,185,652;1.02
Arkansas;03/09/2019;1,396;03/02/2019;11,632;1,185,652;0.98
Arkansas;03/16/2019;1,442;03/09/2019;10,973;1,185,652;0.93
Arkansas;03/23/2019;2,263;03/16/2019;10,415;1,185,652;0.88
Arkansas;03/30/2019;1,219;03/23/2019;11,003;1,185,652;0.93
Arkansas;04/06/2019;2,250;03/30/2019;9,788;1,185,652;0.83
Arkansas;04/13/2019;1,451;04/06/2019;10,259;1,188,140;0.86
Arkansas;04/20/2019;1,413;04/13/2019;9,669;1,188,140;0.81
Arkansas;04/27/2019;1,337;04/20/2019;9,842;1,188,140;0.83
Arkansas;05/04/2019;1,477;04/27/2019;9,624;1,188,140;0.81
Arkansas;05/11/2019;1,682;05/04/2019;9,348;1,188,140;0.79
Arkansas;05/18/2019;1,697;05/11/2019;9,623;1,188,140;0.81
Arkansas;05/25/2019;1,991;05/18/2019;9,815;1,188,140;0.83
Arkansas;06/01/2019;2,602;05/25/2019;10,139;1,188,140;0.85
Arkansas;06/08/2019;3,049;06/01/2019;11,510;1,188,140;0.97
Arkansas;06/15/2019;1,736;06/08/2019;12,900;1,188,140;1.09
Arkansas;06/22/2019;1,492;06/15/2019;12,639;1,188,140;1.06
Arkansas;06/29/2019;1,564;06/22/2019;12,603;1,188,140;1.06
Arkansas;07/06/2019;2,938;06/29/2019;12,156;1,188,140;1.02
Arkansas;07/13/2019;1,757;07/06/2019;13,856;1,190,937;1.16
Arkansas;07/20/2019;1,516;07/13/2019;13,812;1,190,937;1.16
Arkansas;07/27/2019;1,437;07/20/2019;13,004;1,190,937;1.09
Arkansas;08/03/2019;1,343;07/27/2019;13,188;1,190,937;1.11
Arkansas;08/10/2019;1,586;08/03/2019;12,339;1,190,937;1.04
Arkansas;08/17/2019;1,422;08/10/2019;11,950;1,190,937;1.00
Arkansas;08/24/2019;1,601;08/17/2019;10,912;1,190,937;0.92
Arkansas;08/31/2019;1,454;08/24/2019;10,774;1,190,937;0.90
Arkansas;09/07/2019;2,122;08/31/2019;10,222;1,190,937;0.86
Arkansas;09/14/2019;1,349;09/07/2019;10,809;1,190,937;0.91
Arkansas;09/21/2019;1,296;09/14/2019;10,201;1,190,937;0.86
Arkansas;09/28/2019;1,346;09/21/2019;9,781;1,190,937;0.82
Arkansas;10/05/2019;1,884;09/28/2019;9,598;1,190,937;0.81
Arkansas;10/12/2019;1,499;10/05/2019;9,712;1,193,713;0.81
Arkansas;10/19/2019;1,404;10/12/2019;9,830;1,193,713;0.82
Arkansas;10/26/2019;1,610;10/19/2019;9,940;1,193,713;0.83
Arkansas;11/02/2019;2,189;10/26/2019;10,050;1,193,713;0.84
Arkansas;11/09/2019;1,731;11/02/2019;10,637;1,193,713;0.89
Arkansas;11/16/2019;1,780;11/09/2019;10,054;1,193,713;0.84
Arkansas;11/23/2019;1,752;11/16/2019;10,767;1,193,713;0.90
Arkansas;11/30/2019;2,567;11/23/2019;10,063;1,193,713;0.84
Arkansas;12/07/2019;2,436;11/30/2019;12,569;1,193,713;1.05
Arkansas;12/14/2019;1,809;12/07/2019;11,610;1,193,713;0.97
Arkansas;12/21/2019;2,579;12/14/2019;11,755;1,193,713;0.98
Arkansas;12/28/2019;3,545;12/21/2019;12,032;1,193,713;1.01
Arkansas;01/04/2020;2,576;12/28/2019;15,323;1,193,713;1.28
Arkansas;01/11/2020;2,493;01/04/2020;15,536;1,195,622;1.30
Arkansas;01/18/2020;1,729;01/11/2020;13,229;1,195,622;1.11
Arkansas;01/25/2020;1,683;01/18/2020;12,331;1,195,622;1.03
Arkansas;02/01/2020;1,837;01/25/2020;13,210;1,195,622;1.10
Arkansas;02/08/2020;1,724;02/01/2020;12,964;1,195,622;1.08
Arkansas;02/15/2020;1,602;02/08/2020;12,979;1,195,622;1.09
Arkansas;02/22/2020;1,055;02/15/2020;12,546;1,195,622;1.05
Arkansas;02/29/2020;1,418;02/22/2020;12,244;1,195,622;1.02
Arkansas;03/07/2020;1,843;02/29/2020;11,618;1,195,622;0.97
Arkansas;03/14/2020;1,382;03/07/2020;11,514;1,195,622;0.96
Arkansas;03/21/2020;9,275;03/14/2020;10,988;1,195,622;0.92
Arkansas;03/28/2020;27,756;03/21/2020;16,148;1,195,622;1.35
Arkansas;04/04/2020;62,086;03/28/2020;36,499;1,195,622;3.05
Arkansas;04/11/2020;35,629;04/04/2020;66,511;1,196,468;5.56
Arkansas;04/18/2020;25,404;04/11/2020;91,278;1,196,468;7.63
Arkansas;04/25/2020;17,671;04/18/2020;109,337;1,196,468;9.14
Arkansas;05/02/2020;13,448;04/25/2020;119,332;1,196,468;9.97
Arkansas;05/09/2020;13,152;05/02/2020;122,522;1,196,468;10.24
Arkansas;05/16/2020;11,427;05/09/2020;122,408;1,196,468;10.23
Arkansas;05/23/2020;10,825;05/16/2020;120,043;1,196,468;10.03
Arkansas;05/30/2020;8,481;05/23/2020;115,365;1,196,468;9.64
Arkansas;06/06/2020;9,663;05/30/2020;115,482;1,196,468;9.65
Arkansas;06/13/2020;9,381;06/06/2020;113,623;1,196,468;9.50
Arizona;01/05/2019;3,086;12/29/2018;19,239;2,784,393;0.69
Arizona;01/12/2019;4,711;01/05/2019;19,360;2,784,393;0.70
Arizona;01/19/2019;4,210;01/12/2019;19,295;2,784,393;0.69
Arizona;01/26/2019;3,681;01/19/2019;19,580;2,784,393;0.70
Arizona;02/02/2019;3,536;01/26/2019;19,553;2,784,393;0.70
Arizona;02/09/2019;3,310;02/02/2019;19,595;2,784,393;0.70
Arizona;02/16/2019;3,224;02/09/2019;19,634;2,784,393;0.71
Arizona;02/23/2019;2,905;02/16/2019;19,362;2,784,393;0.70
Arizona;03/02/2019;3,276;02/23/2019;19,231;2,784,393;0.69
Arizona;03/09/2019;3,403;03/02/2019;19,057;2,784,393;0.68
Arizona;03/16/2019;3,388;03/09/2019;19,088;2,784,393;0.69
Arizona;03/23/2019;3,402;03/16/2019;18,987;2,784,393;0.68
Arizona;03/30/2019;3,740;03/23/2019;19,112;2,784,393;0.69
Arizona;04/06/2019;5,029;03/30/2019;18,755;2,804,467;0.67
Arizona;04/13/2019;5,848;04/06/2019;19,736;2,804,467;0.70
Arizona;04/20/2019;5,330;04/13/2019;21,027;2,804,467;0.75
Arizona;04/27/2019;5,303;04/20/2019;22,912;2,804,467;0.82
Arizona;05/04/2019;4,635;04/27/2019;23,733;2,804,467;0.85
Arizona;05/11/2019;4,264;05/04/2019;24,879;2,804,467;0.89
Arizona;05/18/2019;4,280;05/11/2019;25,497;2,804,467;0.91
Arizona;05/25/2019;4,129;05/18/2019;25,609;2,804,467;0.91
Arizona;06/01/2019;4,078;05/25/2019;25,307;2,804,467;0.90
Arizona;06/08/2019;4,670;06/01/2019;26,308;2,804,467;0.94
Arizona;06/15/2019;4,219;06/08/2019;25,992;2,804,467;0.93
Arizona;06/22/2019;4,177;06/15/2019;26,606;2,804,467;0.95
Arizona;06/29/2019;4,208;06/22/2019;26,470;2,804,467;0.94
Arizona;07/06/2019;4,412;06/29/2019;26,689;2,804,467;0.95
Arizona;07/13/2019;5,723;07/06/2019;27,400;2,825,215;0.97
Arizona;07/20/2019;4,549;07/13/2019;28,825;2,825,215;1.02
Arizona;07/27/2019;4,019;07/20/2019;29,236;2,825,215;1.03
Arizona;08/03/2019;3,908;07/27/2019;29,299;2,825,215;1.04
Arizona;08/10/2019;3,857;08/03/2019;28,871;2,825,215;1.02
Arizona;08/17/2019;3,514;08/10/2019;28,619;2,825,215;1.01
Arizona;08/24/2019;3,535;08/17/2019;27,805;2,825,215;0.98
Arizona;08/31/2019;3,622;08/24/2019;27,263;2,825,215;0.96
Arizona;09/07/2019;3,336;08/31/2019;25,986;2,825,215;0.92
Arizona;09/14/2019;3,643;09/07/2019;25,426;2,825,215;0.90
Arizona;09/21/2019;3,681;09/14/2019;24,362;2,825,215;0.86
Arizona;09/28/2019;3,757;09/21/2019;23,611;2,825,215;0.84
Arizona;10/05/2019;3,775;09/28/2019;23,284;2,825,215;0.82
Arizona;10/12/2019;3,916;10/05/2019;22,290;2,845,961;0.78
Arizona;10/19/2019;3,510;10/12/2019;21,911;2,845,961;0.77
Arizona;10/26/2019;3,880;10/19/2019;21,520;2,845,961;0.76
Arizona;11/02/2019;3,966;10/26/2019;20,865;2,845,961;0.73
Arizona;11/09/2019;3,952;11/02/2019;20,673;2,845,961;0.73
Arizona;11/16/2019;3,701;11/09/2019;20,489;2,845,961;0.72
Arizona;11/23/2019;3,730;11/16/2019;19,167;2,845,961;0.67
Arizona;11/30/2019;2,527;11/23/2019;17,371;2,845,961;0.61
Arizona;12/07/2019;4,113;11/30/2019;18,526;2,845,961;0.65
Arizona;12/14/2019;3,296;12/07/2019;17,436;2,845,961;0.61
Arizona;12/21/2019;3,294;12/14/2019;17,518;2,845,961;0.62
Arizona;12/28/2019;2,155;12/21/2019;17,508;2,845,961;0.62
Arizona;01/04/2020;3,132;12/28/2019;17,991;2,864,180;0.63
Arizona;01/11/2020;4,654;01/04/2020;18,259;2,864,180;0.64
Arizona;01/18/2020;4,152;01/11/2020;18,421;2,864,180;0.64
Arizona;01/25/2020;3,475;01/18/2020;18,401;2,864,180;0.64
Arizona;02/01/2020;3,807;01/25/2020;18,854;2,864,180;0.66
Arizona;02/08/2020;3,636;02/01/2020;18,461;2,864,180;0.64
Arizona;02/15/2020;3,538;02/08/2020;18,516;2,864,180;0.65
Arizona;02/22/2020;3,151;02/15/2020;18,217;2,864,180;0.64
Arizona;02/29/2020;3,086;02/22/2020;18,137;2,864,180;0.63
Arizona;03/07/2020;3,357;02/29/2020;17,593;2,864,180;0.61
Arizona;03/14/2020;3,844;03/07/2020;17,595;2,864,180;0.61
Arizona;03/21/2020;29,348;03/14/2020;18,108;2,864,180;0.63
Arizona;03/28/2020;88,940;03/21/2020;26,387;2,864,180;0.92
Arizona;04/04/2020;132,428;03/28/2020;62,597;2,864,180;2.19
Arizona;04/11/2020;98,531;04/04/2020;120,592;2,864,180;4.21
Arizona;04/18/2020;72,457;04/11/2020;170,262;2,885,408;5.90
Arizona;04/25/2020;52,581;04/18/2020;196,401;2,885,408;6.81
Arizona;05/02/2020;43,023;04/25/2020;218,760;2,885,408;7.58
Arizona;05/09/2020;31,570;05/02/2020;228,806;2,885,408;7.93
Arizona;05/16/2020;31,957;05/09/2020;230,566;2,885,408;7.99
Arizona;05/23/2020;26,868;05/16/2020;217,968;2,885,408;7.55
Arizona;05/30/2020;22,012;05/23/2020;209,944;2,885,408;7.28
Arizona;06/06/2020;24,367;05/30/2020;210,605;2,885,408;7.30
Arizona;06/13/2020;22,419;06/06/2020;209,529;2,885,408;7.26
California;01/05/2019;38,536;12/29/2018;348,968;16,900,653;2.06
California;01/12/2019;53,519;01/05/2019;366,000;16,987,900;2.15
California;01/19/2019;48,844;01/12/2019;371,261;16,987,900;2.19
California;01/26/2019;56,886;01/19/2019;388,607;16,987,900;2.29
California;02/02/2019;48,904;01/26/2019;363,358;16,987,900;2.14
California;02/09/2019;44,850;02/02/2019;371,696;16,987,900;2.19
California;02/16/2019;43,516;02/09/2019;360,835;16,987,900;2.12
California;02/23/2019;34,449;02/16/2019;386,100;16,987,900;2.27
California;03/02/2019;41,085;02/23/2019;380,331;16,987,900;2.24
California;03/09/2019;40,896;03/02/2019;402,138;16,987,900;2.37
California;03/16/2019;41,128;03/09/2019;372,306;16,987,900;2.19
California;03/23/2019;39,832;03/16/2019;384,846;16,987,900;2.27
California;03/30/2019;38,528;03/23/2019;368,658;16,987,900;2.17
California;04/06/2019;36,227;03/30/2019;373,823;16,987,900;2.20
California;04/13/2019;39,429;04/06/2019;347,023;17,063,245;2.03
California;04/20/2019;43,900;04/13/2019;361,762;17,063,245;2.12
California;04/27/2019;40,312;04/20/2019;333,180;17,063,245;1.95
California;05/04/2019;38,392;04/27/2019;342,461;17,063,245;2.01
California;05/11/2019;39,618;05/04/2019;330,763;17,063,245;1.94
California;05/18/2019;37,428;05/11/2019;344,735;17,063,245;2.02
California;05/25/2019;38,275;05/18/2019;319,156;17,063,245;1.87
California;06/01/2019;34,781;05/25/2019;317,598;17,063,245;1.86
California;06/08/2019;41,288;06/01/2019;317,108;17,063,245;1.86
California;06/15/2019;38,753;06/08/2019;300,412;17,063,245;1.76
California;06/22/2019;44,396;06/15/2019;306,005;17,063,245;1.79
California;06/29/2019;42,404;06/22/2019;300,575;17,063,245;1.76
California;07/06/2019;35,194;06/29/2019;307,450;17,063,245;1.80
California;07/13/2019;39,061;07/06/2019;301,444;17,144,715;1.76
California;07/20/2019;39,341;07/13/2019;306,388;17,144,715;1.79
California;07/27/2019;38,438;07/20/2019;311,686;17,144,715;1.82
California;08/03/2019;36,041;07/27/2019;305,372;17,144,715;1.78
California;08/10/2019;41,404;08/03/2019;329,057;17,144,715;1.92
California;08/17/2019;35,430;08/10/2019;294,646;17,144,715;1.72
California;08/24/2019;34,596;08/17/2019;307,762;17,144,715;1.80
California;08/31/2019;34,358;08/24/2019;290,655;17,144,715;1.70
California;09/07/2019;30,771;08/31/2019;269,570;17,144,715;1.57
California;09/14/2019;34,650;09/07/2019;285,564;17,144,715;1.67
California;09/21/2019;35,161;09/14/2019;279,176;17,144,715;1.63
California;09/28/2019;33,226;09/21/2019;277,881;17,144,715;1.62
California;10/05/2019;33,326;09/28/2019;276,630;17,144,715;1.61
California;10/12/2019;40,182;10/05/2019;260,397;17,203,829;1.51
California;10/19/2019;39,191;10/12/2019;258,717;17,203,829;1.50
California;10/26/2019;41,081;10/19/2019;281,060;17,203,829;1.63
California;11/02/2019;39,332;10/26/2019;267,628;17,203,829;1.56
California;11/09/2019;45,816;11/02/2019;284,199;17,203,829;1.65
California;11/16/2019;40,749;11/09/2019;274,354;17,203,829;1.59
California;11/23/2019;49,133;11/16/2019;291,706;17,203,829;1.70
California;11/30/2019;36,457;11/23/2019;259,563;17,203,829;1.51
California;12/07/2019;48,434;11/30/2019;327,504;17,203,829;1.90
California;12/14/2019;47,521;12/07/2019;321,564;17,203,829;1.87
California;12/21/2019;49,943;12/14/2019;325,387;17,203,829;1.89
California;12/28/2019;34,301;12/21/2019;300,551;17,203,829;1.75
California;01/04/2020;36,720;12/28/2019;359,606;17,203,829;2.09
California;01/11/2020;51,993;01/04/2020;356,376;17,265,039;2.06
California;01/18/2020;64,858;01/11/2020;376,947;17,265,039;2.18
California;01/25/2020;45,596;01/18/2020;336,269;17,265,039;1.95
California;02/01/2020;43,458;01/25/2020;388,341;17,265,039;2.25
California;02/08/2020;40,392;02/01/2020;359,156;17,265,039;2.08
California;02/15/2020;43,445;02/08/2020;375,305;17,265,039;2.17
California;02/22/2020;34,979;02/15/2020;349,252;17,265,039;2.02
California;02/29/2020;41,678;02/22/2020;369,988;17,265,039;2.14
California;03/07/2020;43,385;02/29/2020;378,864;17,265,039;2.19
California;03/14/2020;57,606;03/07/2020;351,344;17,265,039;2.04
California;03/21/2020;186,333;03/14/2020;421,912;17,265,039;2.44
California;03/28/2020;1,058,325;03/21/2020;400,565;17,265,039;2.32
California;04/04/2020;918,814;03/28/2020;1,076,761;17,265,039;6.24
California;04/11/2020;655,472;04/04/2020;1,429,954;17,330,010;8.25
California;04/18/2020;528,360;04/11/2020;2,422,458;17,330,010;13.98
California;04/25/2020;325,343;04/18/2020;1,887,575;17,330,010;10.89
California;05/02/2020;316,257;04/25/2020;4,808,361;17,330,010;27.75
California;05/09/2020;212,667;05/02/2020;2,850,204;17,330,010;16.45
California;05/16/2020;244,431;05/09/2020;3,565,153;17,330,010;20.57
California;05/23/2020;203,262;05/16/2020;2,155,310;17,330,010;12.44
California;05/30/2020;228,634;05/23/2020;2,752,401;17,330,010;15.88
California;06/06/2020;255,836;05/30/2020;2,812,484;17,330,010;16.23
California;06/13/2020;241,424;06/06/2020;3,001,413;17,330,010;17.32
Colorado;01/05/2019;2,710;12/29/2018;21,864;2,571,804;0.85
Colorado;01/12/2019;3,077;01/05/2019;21,215;2,588,607;0.82
Colorado;01/19/2019;2,701;01/12/2019;21,748;2,588,607;0.84
Colorado;01/26/2019;2,409;01/19/2019;23,144;2,588,607;0.89
Colorado;02/02/2019;2,275;01/26/2019;22,589;2,588,607;0.87
