Error/Needs Review,record_id,policy_id,province,recorded_date,date_updated,date_start,date_end,policy_type,entry_type,event_description,type,type_sub_cat,type_text,correct_type,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,link,ISO_A3,ISO_A2
,1059731Ap,1059731,Missouri,2020-06-19T10:53:11Z,2020-06-19,2020-06-16,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"Missouri (U.S. state) moves into Phase 2 of its ""Show Me Strong Recovery Plan"" on June 16. All restrictions on businesses are lifted.",Restriction and Regulation of Businesses,All or unspecified essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Voluntary/Recommended but No Penalties,https://www.kfvs12.com/2020/06/11/gov-parson-discuss-phase-show-me-strong-recovery-plan/,USA,US
,3940016Ap,3940016,Alabama,2020-06-27T11:40:47Z,2020-06-27,2020-05-11,2020-07-03,,new_entry,"Effective May 11 until July 3, all employers in Alabama shall maintain six feet of separation between employees and regularly disinfect frequently used items and surfaces.",Restriction and Regulation of Businesses,All or unspecified essential businesses,NA,correction,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf,USA,US
,1495976Ap,1495976,Missouri,2020-06-29T11:02:50Z,2020-06-29,2020-06-29,2020-07-12,,new_entry,"Businesses in Kansas City, Missouri must enforce the city's mask rule for all patrons and employees in indoor spaces, starting June 29 and ending July 12.",Restriction and Regulation of Businesses,All or unspecified essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://www.kctv5.com/coronavirus/mayor-lucas-makes-masks-mandatory-when-indoors/article_5d0267ea-b7f0-11ea-b1c9-57def7c6f815.html,USA,US
,3257107Ap,3257107,Pennsylvania,2020-06-30T12:20:25Z,2020-06-30,2020-04-19,2020-07-15,,new_entry,"Pennsylvania Govt signed an order (effective from 19th April 2020, 8pm) that establishes protocols for essential businesses so that they can operate with conditions.",Restriction and Regulation of Businesses,All or unspecified essential businesses,NA,correction,NA,NA,NA,NA,NA,NA,"Mandatory with Fines,Mandatory (Other; please list other enforcement mechanisms in the text entry)",https://www.governor.pa.gov/newsroom/gov-wolf-health-secretary-signs-order-providing-worker-safety-measures-to-combat-covid-19/,USA,US
,9843489Ap,9843489,Virginia,2020-07-02T23:44:00Z,2020-07-02,2020-07-15,2020-07-15,,new_entry,"the Virginia Safety and Health Codes Board has moved forward with an emergency workplace standard to curb the spread of COVID-19. These standards would apply to all Virginia employers and places of employment under the jurisdiction of the Virginia Occupational Health and Safety Administration. They include mandatory physical distancing and PPE provided to employees, and legal protections for employees who took their own protective measure or raised concerns relating to protective measures at their workplace.",Restriction and Regulation of Businesses,All or unspecified essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory with Fines,https://www.natlawreview.com/article/virginia-employees-protected-retaliation-raising-concerns-about-covid-19-workplace,USA,US
,3237342Aq,3237342,West Virginia,2020-05-06T05:56:08Z,2020-05-06,2020-04-25,2020-07-15,,new_entry,"United States, West Virginia Governor issues an executive order that ""all Essential Businesses and Operations conducted by both private and public employers in Berkeley County and Jefferson County shall order their employees and/or contractors, to the maximum extent possible, to work from their home or residence or to otherwise work remotely.""",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://governor.wv.gov/Documents/2020%20Executive%20Orders/Executive-Order-April-24-2020-Morgan-County-Lifted.pdf,USA,US
,874360Aq,874360,Arkansas,2020-05-08T04:11:25Z,2020-05-08,2020-04-06,2020-07-15,,new_entry,"United States, Arkansas Governor issues an executive order requiring that all businesses, manufacturers, construction companies, and places and worship implement restrictions on the number of people who can enter a facility to maintain minimum 6 foot distance, increase hygiene and sanitation, provide contactless payment systems, post information signage and the entrance of their facility.",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-13._.pdf,USA,US
,507041Aq,507041,Idaho,2020-05-20T09:02:48Z,2020-05-20,2020-05-18,2020-04-30,Fewer Restrictions and/or Less Supply,update,"Idaho, United States
Boise, Idaho – Protocols are now available for bars/breweries/wineries/distilleries and outdoor pools/splashpads/waterparks to open in Stage 3 of the Idaho Rebounds plan to safely and responsibly open Idaho’s economy. Protocols for onboarding seasonal or temporary workers were also added.

Consumer and employee confidence is needed in order for Idaho’s economy to rebound more quickly. Businesses opening their doors in various stages of the Idaho Rebounds plan should have operational plans in place to mitigate the risk of spreading COVID-19. Protocols are being added for specific businesses.

To date, the following protocols have been made available. Additional business-specific protocols will be added as they are made available.

Stage 1 – General Business

Stage 1 – Daycare

Stage 1 – Youth Activities

Stage 1 – Places of Worship

Stage 2 – General Business

Stage 2 – Restaurants

Stage 2 – Close Contact Services

Stage 2 – Indoor gyms, recreational facilities

Stage 3 – Outdoor pools, splashpads, waterparks

Stage 3 – Bars, breweries, wineries, distilleries

General – Agricultural workers, Onboarding seasonal/temporary workers

The protocols can be found at https://rebound.idaho.gov/business-specific-protocols-for-opening/.",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,All (Travelers + Residents),NA,NA,Mandatory (Unspecified/Implied),https://gov.idaho.gov/pressrelease/governor-little-issues-statewide-stay-home-order-signs-extreme-emergency-declaration/,USA,US
,8422362Aq,8422362,Montana,2020-05-20T17:59:12Z,2020-05-20,2020-04-27,,Fewer Restrictions and/or Less Supply,update,"On Mar 26, Montana Gov. signed an executive order forcing all non-essential businesses to fully close. The Directive will be in effect through Friday, April 10 and requires all businesses and operations in Montana, except for essential businesses and operations as defined in the directive, to stop all activities within the state.

On Apr 7, the directive was extended from April 10 through April 24th.

On Apr 22, Montana Gov. Steve Bullock announced a gradual and phased reopening of the state. Main street and retail businesses can become operational on or after April 27 if they can adhere to requirements to limit capacity and maintain strict physical distancing. 
   Employers are directed to develop policies to keep employees and customers safe including teleworking when possible, enforcing social distancing protocols, and other measures as provided in an appendix of reopening guidelines. 
",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://news.mt.gov/governor-bullock-issues-stay-at-home-directive-to-slow-the-spread-of-covid-19,USA,US
,6058628Aq,6058628,Kansas,2020-05-30T09:28:35Z,2020-05-30,2020-05-14,2020-05-31,More Restrictions and/or More Supply,new_entry,"On May 13th, Kansas Gov. Kelly signed a new Executive Order providing temporary relief from certain restrictions concerning shared work programs.",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://governor.kansas.gov/wp-content/uploads/2020/05/EO-20-32-Shared-Work-Executed.pdf,USA,US
,4442188Aq,4442188,California,2020-06-03T12:50:11Z,2020-06-03,2020-05-14,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"United States, California governor's ""Resilience Roadmap"" enters second phase, providing industry-specific guidance for California businesses, issued by the California State Occupational Safety and Health Administration (CAL/OSHA) classifying COVID-19 as a workplace hazard and detailing specific safety benchmarks and practices that must be met in order to re-open businesses that have been restricted as a result of COVID-19, starting May 14, 2020.",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory with Fines,https://www.dir.ca.gov/dosh/coronavirus/General-Industry.html,USA,US
,1296665Aq,1296665,Kansas,2020-06-03T17:08:40Z,2020-06-03,2020-05-26,2020-06-30,,new_entry,"On May 26th, Kansas Gov. Kelly signed a new Executive Order providing temporary relief from certain unemployment insurance requirements.",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://governor.kansas.gov/wp-content/uploads/2020/05/EO-20-38-Unempl.-Ins.-Waiting-week.pdf,USA,US
,8311212Aq,8311212,Kansas,2020-06-03T17:41:55Z,2020-06-03,2020-05-26,2020-06-30,,new_entry,"On May 26th, Kansas Gov. Kelly signed a new Executive Order ensuring that Kansans who provide important services can continue their work without regulatory interruptions.",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://governor.kansas.gov/wp-content/uploads/2020/05/EO-20-39-Prof.-licenses-ext..pdf,USA,US
,8131156Aq,8131156,Indiana,2020-06-04T21:01:49Z,2020-06-04,2020-05-01,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,The business will reopen by 5 stages after May 1st in Indiana.,Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory with Legal Penalties (Jail Time),https://www.in.gov/gov/files/Executive%20Order%2020-26%20Roadmap%20to%20Reopen%20Indiana.pdf,USA,US
,8164626Aq,8164626,Michigan,2020-06-09T15:04:21Z,2020-06-09,2020-04-24,2020-05-15,Fewer Restrictions and/or Less Supply,update,"As part of a stay-at-home order, Michigan barred all in-person work which is necessary to sustain or protect life, to conduct minimum basic operations, or to perform a resumed activity (mainly outdoor recreational activities).
Update: The provincial government decided that laboratory research can resume on May 15, 2020",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Exceptions (Please list exceptions in the text entry),"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-526894--,00.html",USA,US
,9061242Aq,9061242,Texas,2020-06-15T11:22:28Z,2020-06-15,2020-05-31,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"Texas (U.S. state) allows all businesses that were previously reopened at 25% capacity to operate at 50% capacity for counties with less than 5 cases of COVID-19. As of May 31 2020, according to executive order GA-23.",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory with Fines,https://gov.texas.gov/uploads/files/press/EO-GA-23_phase_two_expanding_opening_COVID-19.pdf,USA,US
,5774141Aq,5774141,Maryland,2020-06-17T15:06:42Z,2020-06-17,2020-06-05,2020-06-10,Fewer Restrictions and/or Less Supply,new_entry,"Maryland (U.S. state) reopens non-essential businesses as of June 5th, as per an executive order by Gov. Larry Hogan. 

Businesses that were reopened previously must follow the established occupancy restrictions. All other non-essential businesses may open to the general public, except senior centers and movie theaters (which remain closed).",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,correction,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://governor.maryland.gov/wp-content/uploads/2020/06/Gatherings-EIGHTH-AMENDED-6.3.20.pdf,USA,US
,5263660Aq,1257213,Minnesota,2020-06-18T18:13:08Z,2020-06-18,2020-05-27,2020-07-15,,update,"On May 27th, the Governor of Minnesota issued an executive order continuing the closure of bars, restaurants and other places of public accommodation.",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://www.leg.state.mn.us/archive/execorders/20-56.pdf,USA,US
,2041769Aq,2041769,Missouri,2020-06-19T10:20:52Z,2020-06-19,2020-05-04,2020-06-15,Fewer Restrictions and/or Less Supply,new_entry,"As part of Phase 1 of the ""Show Me Strong Recovery Plan,"" Missouri (U.S. state) is allowing all businesses to reopen, with 6ft social distancing and occupancy requirements (Stores under 10,000 sq ft in area must maintain 25% occupancy, stores over 10,000 sq ft in area must maintain 10% occupancy).",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://www.stlmag.com/news/what-is-the-show-me-strong-recovery-plan/,USA,US
,1059731Aq,1059731,Missouri,2020-06-19T10:53:11Z,2020-06-19,2020-06-16,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"Missouri (U.S. state) moves into Phase 2 of its ""Show Me Strong Recovery Plan"" on June 16. All restrictions on businesses are lifted.",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Voluntary/Recommended but No Penalties,https://www.kfvs12.com/2020/06/11/gov-parson-discuss-phase-show-me-strong-recovery-plan/,USA,US
,7173173Aq,7173173,New Mexico,2020-06-20T09:11:46Z,2020-06-20,2020-06-15,2020-07-15,,new_entry,"The New Mexico Tourism Department (NMTD) has issued a $50,000 grant to the New Mexico Society of Association Executives (NMSAE) to administer a COVID-Safe Practices training program in an effort to help businesses operate in a COVID-19 world. The initiative, tabbed the NM Safe Certified Program, offers free on-demand virtual COVID-Safe Practices training modules designed to help businesses create a safe and responsible environment for employees and customers. The NM Safe Certified Program officially went live on June 15, 2020, and is available to businesses that qualify.",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Voluntary/Recommended but No Penalties,https://www.newmexico.gov/2020/06/16/covid-safe-practices-certification-program-now-available-to-new-mexico-businesses/,USA,US
,8838142Aq,8838142,Indiana,2020-06-25T13:07:40Z,2020-06-25,2020-03-23,2020-07-15,,new_entry,Indiana on Monday March 23 shut down nonessential travel and businesses to help deter the spread of coronavirus.,Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://www.indystar.com/story/news/politics/2020/03/23/gov-eric-holcomb-issues-stay-home-order-indiana/2899722001/,USA,US
,2180169Aq,2180169,Indiana,2020-06-25T15:33:02Z,2020-06-25,2020-04-01,2020-05-01,,new_entry,Mayor Joe Hogsett said Indianapolis and Marion County will extend the stay-at-home order until May 1. All non-essential businesses are to remain closed until May 1. Employees at essential businesses can still go to work.,Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://fox59.com/news/coronavirus/marion-county-to-extend-stay-at-home-order-through-may-1-close-golf-courses-beginning-april-3/,USA,US
,3940016Aq,3940016,Alabama,2020-06-27T11:40:47Z,2020-06-27,2020-05-11,2020-07-03,,new_entry,"Effective May 11 until July 3, all employers in Alabama shall maintain six feet of separation between employees and regularly disinfect frequently used items and surfaces.",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,correction,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf,USA,US
,1495976Aq,1495976,Missouri,2020-06-29T11:02:50Z,2020-06-29,2020-06-29,2020-07-12,,new_entry,"Businesses in Kansas City, Missouri must enforce the city's mask rule for all patrons and employees in indoor spaces, starting June 29 and ending July 12.",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://www.kctv5.com/coronavirus/mayor-lucas-makes-masks-mandatory-when-indoors/article_5d0267ea-b7f0-11ea-b1c9-57def7c6f815.html,USA,US
,9843489Aq,9843489,Virginia,2020-07-02T23:44:00Z,2020-07-02,2020-07-15,2020-07-15,,new_entry,"the Virginia Safety and Health Codes Board has moved forward with an emergency workplace standard to curb the spread of COVID-19. These standards would apply to all Virginia employers and places of employment under the jurisdiction of the Virginia Occupational Health and Safety Administration. They include mandatory physical distancing and PPE provided to employees, and legal protections for employees who took their own protective measure or raised concerns relating to protective measures at their workplace.",Restriction and Regulation of Businesses,All or unspecified non-essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory with Fines,https://www.natlawreview.com/article/virginia-employees-protected-retaliation-raising-concerns-about-covid-19-workplace,USA,US
,3860156Ar,3860156,Arkansas,2020-04-27T07:01:48Z,2020-04-27,2020-04-03,2020-07-15,More Restrictions and/or More Supply,new_entry,"Center for Diseases Control and Prevention (CDC) in US State of Arkansas has recommended the use of Cloth face-covering/mask, especially in the areas of significant community-based transmission.",Social Distancing,All public spaces / everywhere,NA,original,Arkansas State,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Voluntary/Recommended but No Penalties,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/cloth-face-cover.html,USA,US
,1546416Ar,1546416,Connecticut,2020-04-24T03:34:26Z,2020-04-24,2020-04-20,2020-07-15,More Restrictions and/or More Supply,new_entry,"Effective at 8:00 p.m. on April 20, 2020, any person in a public place in Connecticut who is unable to or does not maintain a safe social distance of approximately six feet from every other person shall cover their mouth and nose with a mask or cloth face-covering. In addition, individuals shall use a mask or cloth face covering when using the services of any taxi, car, livery, ride-sharing or similar service or means of mass public transit, or while within any semi-enclosed transit stop or waiting area.",Social Distancing,All public spaces / everywhere,NA,original,Connecticut,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf?la=en,USA,US
,3249131Ar,3249131,Colorado,2020-05-19T11:08:12Z,2020-05-19,2020-05-14,2020-05-26,,new_entry,"As of May 14, 2020: All individuals currently living within the State of Colorado are encouraged
to stay at home and avoid unnecessary interactions whenever possible in order to reduce
the spread of disease. Individuals living in shared or outdoor spaces must at all times, to the
greatest extent possible, comply with Social Distancing Requirements.",Social Distancing,All public spaces / everywhere,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://drive.google.com/file/d/1DwHECt-kcVBAKHqHnjlKuwAJZ9nFi0iV/view,USA,US
,2801307Ar,2801307,Illinois,2020-06-01T01:33:29Z,2020-06-01,2020-05-01,2020-07-15,,new_entry,The Illinois government announced that the people should at all times and as much as reasonably possible comply with social distancing requirements from May 1st.,Social Distancing,All public spaces / everywhere,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-32.aspx,USA,US
,9659097Ar,9659097,Indiana,2020-06-04T21:13:08Z,2020-06-04,2020-05-01,2020-07-15,,new_entry,Indiana government announced that people should keep a social distancing from May 1st.,Social Distancing,All public spaces / everywhere,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://www.in.gov/gov/files/Executive%20Order%2020-26%20Roadmap%20to%20Reopen%20Indiana.pdf,USA,US
,7653724Ar,7653724,Alabama,2020-06-24T14:13:36Z,2020-06-24,2020-06-19,2020-07-15,,new_entry,"Effective June 19 at 5 pm, an executive order mandates face masks in public places in Montgomery, Alabama with more than 10 people.",Social Distancing,All public spaces / everywhere,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Fines,https://www.montgomeryal.gov/home/showdocument?id=12133,USA,US
,4181319Ar,4181319,Alabama,2020-06-27T11:15:54Z,2020-06-27,2020-06-27,2020-07-15,,new_entry,"Effective June 27 at 5 pm, an executive order requires face masks to be worn in public in Selma, Alabama.",Social Distancing,All public spaces / everywhere,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Fines,https://www.alabamanews.net/2020/06/26/selma-mayor-orders-face-masks-to-be-worn-in-public/,USA,US
,7810442Ar,7810442,Alabama,2020-07-01T13:42:54Z,2020-07-01,2020-07-06,2020-08-05,,new_entry,"Alabama, July 6: Residents of Tuscaloosa will be required to wear a face mask or face covering in all public places within city limits.",Social Distancing,All public spaces / everywhere,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Fines,https://www.wvtm13.com/article/tuscaloosa-city-council-votes-unanimously-to-pass-mask-ordinance/33016988,USA,US
,5287033Ar,5287033,Kansas,2020-07-02T22:19:47Z,2020-07-02,2020-07-03,2020-07-15,More Restrictions and/or More Supply,new_entry,"Governor Kelly announces Kansans must wear masks in stores and shops, restaurants, and in any situation in which social distancing of 6 feet cannot be maintained, including outside.",Social Distancing,All public spaces / everywhere,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://governor.kansas.gov/wp-content/uploads/2020/07/20200702093130003.pdf,USA,US
,4291638Ar,4291638,Arkansas,2020-07-03T09:46:47Z,2020-07-03,2020-06-25,2020-07-15,,new_entry,"Effective June 25, Little Rock, Arkansas made mask-wearing mandatory in commercial and public spaces.",Social Distancing,All public spaces / everywhere,NA,correction,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://arktimes.com/arkansas-blog/2020/06/25/little-rock-mayor-issues-mask-order-questions-remains,USA,US
,2557053Ar,2557053,Arkansas,2020-07-03T09:47:52Z,2020-07-03,2020-06-16,2020-07-15,,new_entry,"Effective June 16, Fayetteville, Arkansas implements mandatory mask-wearing in public spaces.",Social Distancing,All public spaces / everywhere,NA,correction,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),http://www.fayetteville-ar.gov/3933/Fayetteville-Mask-Ordinance-6323,USA,US
,4342131Ar,4342131,Pennsylvania,2020-04-25T08:16:10Z,2020-04-25,2020-04-03,2020-07-15,More Restrictions and/or More Supply,new_entry,Pennsylvania recommended that all Pennsylvanians wear a mask any time they leave their homes for life-sustaining reasons on 3 April 2020.,Social Distancing,All public spaces / everywhere,NA,original,Pennsylvania,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Voluntary/Recommended but No Penalties,https://www.governor.pa.gov/newsroom/gov-wolf-calls-for-universal-masking/,USA,US
,8809582Aw,8809582,Mississippi,2020-05-05T00:50:46Z,2020-05-05,2020-04-03,2020-04-27,,update,"United States, Mississippi Governor issues an executive shelter in place order requiring the shut down of all parks, including all beaches, lakes and reservoirs (but not including walking trails) beginning April 3 until April 20.
Updated to allow recreational boating, fishing on lakes, beaches along coastal waterways and use of beaches for individual recreation along coastal waterways. Must comply with social distancing requirements, no gatherings of more than 10 people. and extended until April 27.",Restriction and Regulation of Government Services,Beaches,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)",https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1466.pdf,USA,US
