id,zip,always,frequently,sometimes,rarely,never,chance,e
10219,07882,0.73,0.15,0.02,0.05,0.04,0.52,4.38
10220,07865,0.78,0.14,0.01,0.02,0.06,0.57,4.47
10221,07513,0.79,0.12,0.07,0.0,0.02,0.66,4.6
10222,07505,0.8,0.09,0.07,0.0,0.04,0.62,4.55
10223,07470,0.86,0.08,0.05,0.0,0.01,0.76,4.74
10224,07421,0.79,0.1,0.05,0.0,0.05,0.6,4.51
10225,07039,0.78,0.13,0.03,0.0,0.05,0.59,4.5
10226,07304,0.7,0.16,0.11,0.02,0.01,0.56,4.46
10227,07863,0.72,0.16,0.02,0.05,0.06,0.47,4.31
10228,"08804,08886",0.72,0.17,0.07,0.0,0.02,0.59,4.51
10229,07307,0.65,0.2,0.05,0.01,0.09,0.41,4.18
10230,07306,0.67,0.22,0.07,0.02,0.02,0.54,4.42
10231,07110,0.64,0.21,0.1,0.03,0.01,0.5,4.36
10232,07028,0.7,0.23,0.06,0.02,0.0,0.62,4.54
10233,07011,0.63,0.19,0.08,0.05,0.05,0.4,4.16
10234,07102,0.64,0.18,0.12,0.04,0.03,0.44,4.23
10235,07043,0.75,0.2,0.03,0.01,0.02,0.67,4.62
10236,08242,0.74,0.23,0.02,0.0,0.01,0.73,4.69
10237,08865,0.72,0.19,0.07,0.0,0.03,0.59,4.5
10238,07024,0.88,0.04,0.07,0.01,0.01,0.75,4.72
10239,08103,0.76,0.14,0.03,0.01,0.05,0.58,4.48
10240,08247,0.77,0.21,0.01,0.0,0.01,0.72,4.69
10241,08102,0.72,0.16,0.07,0.02,0.03,0.53,4.41
10242,08210,0.75,0.22,0.02,0.0,0.01,0.71,4.67
10243,07104,0.59,0.28,0.1,0.01,0.02,0.49,4.34
10244,07305,0.69,0.17,0.1,0.02,0.02,0.52,4.39
10245,08223,0.7,0.21,0.04,0.04,0.01,0.56,4.45
10246,08260,0.76,0.22,0.01,0.0,0.01,0.74,4.71
10247,08251,0.74,0.24,0.02,0.0,0.0,0.73,4.69
10248,08270,0.71,0.19,0.03,0.03,0.05,0.53,4.4
10249,08243,0.76,0.18,0.02,0.01,0.03,0.65,4.58
10250,07002,0.84,0.11,0.01,0.0,0.03,0.73,4.7
10251,07452,0.87,0.07,0.03,0.01,0.01,0.77,4.75
10252,07417,0.8,0.17,0.02,0.0,0.0,0.78,4.76
10253,07458,0.71,0.22,0.04,0.01,0.03,0.61,4.53
10254,07078,0.74,0.19,0.01,0.05,0.01,0.61,4.52
10255,08221,0.7,0.2,0.03,0.05,0.01,0.56,4.45
10256,08534,0.88,0.07,0.03,0.01,0.01,0.78,4.76
10257,08629,0.78,0.17,0.04,0.01,0.0,0.71,4.67
10258,08611,0.81,0.14,0.01,0.03,0.0,0.72,4.68
10259,08344,0.79,0.11,0.02,0.02,0.06,0.57,4.47
10260,08085,0.89,0.1,0.0,0.0,0.0,0.87,4.87
10261,08328,0.82,0.1,0.02,0.02,0.04,0.63,4.55
10262,08203,0.79,0.11,0.04,0.05,0.01,0.62,4.55
10263,"08319,08317",0.71,0.21,0.03,0.03,0.02,0.58,4.49
10264,"08205,08241",0.8,0.15,0.03,0.02,0.0,0.73,4.69
10265,08330,0.72,0.2,0.05,0.0,0.03,0.59,4.5
10266,08234,0.69,0.22,0.03,0.05,0.01,0.57,4.46
10267,08401,0.74,0.14,0.04,0.07,0.01,0.54,4.43
10268,"08350,08310",0.82,0.09,0.05,0.0,0.03,0.66,4.6
10269,08215,0.68,0.3,0.01,0.0,0.01,0.67,4.61
10270,08244,0.7,0.2,0.04,0.05,0.01,0.56,4.46
10271,08201,0.73,0.16,0.03,0.06,0.02,0.54,4.42
10272,08037,0.85,0.05,0.01,0.0,0.09,0.57,4.47
10273,08095,0.79,0.1,0.02,0.01,0.08,0.54,4.41
10274,08346,0.8,0.1,0.02,0.01,0.07,0.57,4.47
10275,08232,0.71,0.18,0.03,0.06,0.02,0.54,4.42
10276,08225,0.71,0.19,0.03,0.06,0.01,0.55,4.43
10277,07111,0.73,0.08,0.12,0.0,0.06,0.46,4.29
10278,07004,0.7,0.22,0.06,0.02,0.0,0.62,4.54
10279,07436,0.91,0.08,0.0,0.0,0.0,0.89,4.88
10280,07463,0.67,0.18,0.12,0.03,0.0,0.53,4.41
10281,08332,0.77,0.16,0.05,0.0,0.02,0.67,4.61
10282,07827,0.63,0.29,0.05,0.01,0.02,0.56,4.45
10283,07826,0.58,0.38,0.02,0.02,0.0,0.58,4.48
10284,07462,0.8,0.12,0.06,0.0,0.02,0.68,4.63
10285,07460,0.75,0.19,0.02,0.01,0.02,0.67,4.61
10286,07418,0.79,0.09,0.09,0.0,0.03,0.62,4.54
10287,08816,0.83,0.13,0.02,0.0,0.02,0.76,4.74
10288,07885,0.72,0.15,0.08,0.03,0.01,0.56,4.45
10289,07206,0.74,0.25,0.01,0.0,0.0,0.75,4.72
10290,08859,0.8,0.09,0.09,0.01,0.0,0.67,4.62
10291,07604,0.75,0.16,0.07,0.01,0.02,0.62,4.55
10292,08735,0.73,0.13,0.03,0.1,0.01,0.49,4.33
10293,08753,0.69,0.11,0.06,0.13,0.0,0.42,4.21
10294,07856,0.74,0.14,0.04,0.05,0.03,0.55,4.43
10295,07803,0.7,0.17,0.09,0.02,0.02,0.54,4.42
10296,07205,0.69,0.18,0.09,0.01,0.03,0.54,4.42
10297,08901,0.91,0.09,0.0,0.0,0.0,0.89,4.89
10298,08857,0.82,0.13,0.0,0.0,0.05,0.68,4.62
10299,08817,0.64,0.25,0.04,0.02,0.04,0.49,4.33
10300,08608,0.81,0.14,0.03,0.01,0.01,0.74,4.71
10301,08349,0.77,0.19,0.03,0.0,0.02,0.7,4.66
10302,07661,0.74,0.24,0.01,0.0,0.0,0.74,4.71
10303,07675,0.81,0.08,0.04,0.04,0.04,0.58,4.49
10304,08609,0.77,0.17,0.04,0.01,0.01,0.7,4.65
10305,08610,0.77,0.17,0.03,0.02,0.01,0.7,4.65
10306,07607,0.87,0.08,0.03,0.0,0.02,0.76,4.73
10307,07677,0.67,0.2,0.09,0.01,0.03,0.52,4.39
10308,08361,0.79,0.12,0.06,0.0,0.03,0.64,4.57
10309,08320,0.74,0.17,0.06,0.0,0.03,0.62,4.54
10310,08302,0.69,0.14,0.11,0.01,0.05,0.47,4.3
10311,"08316,08314",0.78,0.18,0.02,0.0,0.02,0.7,4.66
10312,08755,0.84,0.05,0.04,0.07,0.0,0.63,4.55
10313,08690,0.66,0.24,0.08,0.01,0.02,0.54,4.43
10314,08638,0.76,0.17,0.04,0.02,0.02,0.65,4.59
10315,08618,0.81,0.15,0.02,0.02,0.01,0.74,4.71
10316,08050,0.77,0.17,0.04,0.01,0.0,0.7,4.66
10317,08406,0.73,0.16,0.04,0.06,0.01,0.55,4.44
10318,08525,0.84,0.1,0.03,0.03,0.01,0.72,4.69
10319,"08540,08542",0.67,0.2,0.08,0.03,0.01,0.53,4.41
10320,08403,0.71,0.19,0.04,0.05,0.01,0.56,4.45
10321,08691,0.78,0.16,0.03,0.01,0.01,0.69,4.65
10322,08343,0.69,0.17,0.03,0.02,0.09,0.43,4.23
10323,08240,0.78,0.18,0.01,0.02,0.01,0.7,4.66
10324,07649,0.72,0.21,0.04,0.0,0.03,0.61,4.54
10325,08884,0.88,0.09,0.02,0.0,0.01,0.82,4.8
10326,08072,0.65,0.13,0.08,0.04,0.1,0.33,4.0
10327,07730,0.82,0.12,0.02,0.02,0.02,0.7,4.65
10328,07734,0.8,0.15,0.02,0.01,0.02,0.69,4.65
10329,07721,0.8,0.14,0.04,0.0,0.02,0.7,4.65
10330,07656,0.69,0.2,0.04,0.0,0.06,0.52,4.38
10331,07760,0.79,0.17,0.04,0.01,0.0,0.75,4.72
10332,07728,0.85,0.1,0.03,0.0,0.02,0.76,4.73
10333,07750,0.76,0.18,0.06,0.0,0.0,0.7,4.66
10334,07031,0.64,0.28,0.04,0.0,0.04,0.54,4.42
10335,07724,0.77,0.16,0.07,0.0,0.0,0.7,4.66
10336,07739,0.74,0.19,0.07,0.0,0.0,0.68,4.64
10337,07731,0.81,0.06,0.06,0.07,0.0,0.6,4.51
10338,07727,0.76,0.16,0.04,0.03,0.01,0.66,4.6
10339,08501,0.79,0.13,0.04,0.02,0.01,0.67,4.61
10340,08015,0.8,0.07,0.05,0.0,0.07,0.56,4.45
10341,07719,0.68,0.25,0.05,0.01,0.01,0.6,4.52
10342,08088,0.77,0.21,0.01,0.0,0.01,0.73,4.7
10343,07740,0.75,0.18,0.07,0.0,0.0,0.69,4.64
10344,07446,0.79,0.15,0.03,0.02,0.0,0.72,4.69
10345,08758,0.77,0.16,0.04,0.02,0.0,0.68,4.64
10346,08533,0.68,0.17,0.08,0.06,0.01,0.49,4.33
10347,08734,0.78,0.15,0.05,0.03,0.0,0.67,4.62
10348,07755,0.75,0.18,0.07,0.0,0.0,0.68,4.63
10349,07712,0.74,0.19,0.07,0.0,0.01,0.67,4.61
10350,07762,0.67,0.25,0.05,0.03,0.0,0.59,4.5
10351,08750,0.69,0.23,0.05,0.03,0.0,0.6,4.51
10352,07756,0.73,0.2,0.05,0.0,0.01,0.66,4.59
10353,07753,0.68,0.25,0.06,0.0,0.02,0.6,4.52
10354,07720,0.72,0.21,0.05,0.01,0.01,0.64,4.58
10355,07934,0.79,0.14,0.05,0.0,0.02,0.68,4.63
10356,07662,0.79,0.1,0.07,0.0,0.04,0.61,4.53
10357,07070,0.67,0.18,0.09,0.01,0.05,0.48,4.32
10358,07701,0.72,0.22,0.03,0.03,0.0,0.65,4.59
10359,07735,0.82,0.12,0.02,0.01,0.03,0.69,4.64
10360,07751,0.76,0.16,0.03,0.04,0.01,0.64,4.57
10361,07757,0.74,0.18,0.08,0.0,0.0,0.67,4.62
10362,07738,0.77,0.15,0.05,0.04,0.0,0.65,4.59
10363,07704,0.75,0.2,0.04,0.01,0.0,0.71,4.66
10364,07716,0.79,0.18,0.01,0.02,0.0,0.75,4.72
10365,07747,0.78,0.17,0.03,0.01,0.02,0.7,4.65
10366,08514,0.71,0.12,0.1,0.06,0.01,0.48,4.32
10367,07722,0.8,0.14,0.04,0.02,0.0,0.71,4.67
10368,07733,0.75,0.14,0.02,0.09,0.0,0.55,4.44
10369,07746,0.69,0.17,0.03,0.1,0.0,0.48,4.32
10370,07726,0.79,0.15,0.02,0.01,0.02,0.68,4.63
10371,08730,0.72,0.2,0.04,0.04,0.0,0.61,4.53
10372,07737,0.78,0.17,0.01,0.03,0.0,0.69,4.65
10373,07718,0.78,0.17,0.01,0.04,0.0,0.68,4.63
10374,07758,0.79,0.16,0.01,0.03,0.01,0.68,4.63
10375,08004,0.88,0.09,0.01,0.01,0.02,0.79,4.77
10376,08089,0.92,0.05,0.01,0.0,0.02,0.83,4.82
10377,08033,0.84,0.16,0.0,0.0,0.0,0.84,4.83
10378,07702,0.75,0.18,0.07,0.0,0.0,0.68,4.63
10379,"08510,08535",0.69,0.23,0.01,0.0,0.06,0.54,4.41
10380,07603,0.85,0.12,0.01,0.0,0.02,0.76,4.73
10381,07663,0.76,0.11,0.09,0.0,0.04,0.56,4.45
10382,08759,0.86,0.08,0.04,0.02,0.0,0.76,4.73
10383,08527,0.87,0.06,0.01,0.03,0.04,0.68,4.63
10384,08731,0.74,0.08,0.1,0.09,0.0,0.48,4.32
10385,08723,0.81,0.09,0.03,0.07,0.0,0.62,4.54
10386,07001,0.62,0.24,0.14,0.01,0.0,0.52,4.39
10387,08873,0.8,0.08,0.05,0.05,0.02,0.58,4.48
10388,08823,0.7,0.09,0.09,0.01,0.11,0.37,4.09
10389,08561,0.77,0.18,0.04,0.0,0.0,0.73,4.69
10390,08087,0.79,0.16,0.04,0.0,0.0,0.75,4.72
10391,08757,0.75,0.08,0.13,0.04,0.0,0.55,4.44
10392,08742,0.75,0.16,0.04,0.05,0.0,0.63,4.56
10393,08620,0.78,0.13,0.05,0.01,0.02,0.64,4.58
10394,08560,0.86,0.09,0.05,0.0,0.0,0.79,4.77
10395,08520,0.76,0.2,0.03,0.0,0.0,0.72,4.69
10396,07640,0.82,0.1,0.02,0.03,0.03,0.64,4.58
10397,07093,0.77,0.17,0.01,0.04,0.0,0.67,4.62
10398,07666,0.84,0.15,0.01,0.0,0.0,0.83,4.81
10399,07003,0.68,0.22,0.07,0.02,0.01,0.57,4.47
10400,08619,0.67,0.19,0.09,0.01,0.04,0.49,4.33
10401,08628,0.86,0.11,0.01,0.01,0.0,0.81,4.8
10402,07620,0.79,0.14,0.04,0.01,0.01,0.68,4.63
10403,07626,0.87,0.06,0.04,0.0,0.03,0.74,4.7
10404,07627,0.87,0.08,0.02,0.0,0.03,0.74,4.71
10405,07641,0.76,0.15,0.04,0.0,0.04,0.6,4.51
10406,08093,0.72,0.19,0.06,0.0,0.04,0.58,4.48
10407,08091,0.81,0.14,0.0,0.02,0.02,0.71,4.67
10408,08311,0.74,0.18,0.06,0.0,0.02,0.62,4.55
10409,08030,0.79,0.18,0.01,0.0,0.02,0.74,4.7
10410,08009,0.84,0.1,0.02,0.0,0.04,0.7,4.66
10411,08081,0.72,0.13,0.06,0.0,0.09,0.45,4.26
10412,07075,0.73,0.15,0.1,0.01,0.01,0.6,4.51
10413,07642,0.64,0.2,0.13,0.01,0.01,0.5,4.36
10414,07423,0.61,0.24,0.13,0.03,0.0,0.49,4.33
10415,08106,0.79,0.2,0.01,0.0,0.0,0.79,4.77
10416,08035,0.79,0.19,0.02,0.0,0.0,0.78,4.75
10417,07670,0.89,0.08,0.03,0.0,0.01,0.83,4.81
10418,07481,0.77,0.17,0.05,0.01,0.0,0.7,4.66
10419,07643,0.83,0.07,0.05,0.01,0.04,0.64,4.57
10420,07605,0.84,0.05,0.06,0.04,0.02,0.64,4.57
10421,08045,0.86,0.11,0.02,0.0,0.01,0.82,4.81
10422,08007,0.78,0.17,0.05,0.0,0.0,0.74,4.71
10423,07071,0.62,0.26,0.06,0.0,0.05,0.47,4.31
10424,07432,0.72,0.16,0.09,0.03,0.0,0.58,4.49
10425,07645,0.69,0.21,0.01,0.0,0.09,0.49,4.33
10426,07606,0.79,0.15,0.04,0.0,0.02,0.69,4.65
10427,08053,0.8,0.12,0.01,0.06,0.01,0.64,4.57
10428,07646,0.78,0.17,0.04,0.0,0.01,0.71,4.66
10429,07009,0.73,0.19,0.07,0.0,0.0,0.66,4.6
10430,08724,0.74,0.16,0.06,0.04,0.0,0.6,4.51
10431,08550,0.79,0.14,0.06,0.0,0.01,0.7,4.65
10432,08648,0.69,0.13,0.09,0.02,0.06,0.43,4.23
10433,07042,0.76,0.2,0.03,0.01,0.0,0.72,4.68
10434,07006,0.7,0.23,0.07,0.0,0.0,0.65,4.58
10435,07017,0.69,0.11,0.14,0.02,0.04,0.44,4.25
10436,07052,0.72,0.2,0.05,0.0,0.03,0.62,4.55
10437,08640,0.78,0.11,0.04,0.01,0.06,0.56,4.45
10438,08515,0.82,0.11,0.03,0.03,0.01,0.69,4.64
10439,07087,0.48,0.35,0.16,0.0,0.0,0.42,4.21
10440,08880,0.79,0.09,0.04,0.07,0.01,0.57,4.47
10441,08019,0.75,0.21,0.02,0.01,0.01,0.72,4.68
10442,07086,0.4,0.45,0.15,0.01,0.0,0.4,4.16
10443,07050,0.7,0.16,0.08,0.01,0.06,0.48,4.31
10444,07079,0.6,0.3,0.07,0.0,0.03,0.52,4.38
10445,07040,0.59,0.3,0.08,0.0,0.02,0.51,4.37
10446,07041,0.57,0.35,0.05,0.01,0.01,0.54,4.42
10447,07021,0.7,0.23,0.06,0.0,0.0,0.66,4.6
10448,07601,0.92,0.07,0.0,0.0,0.0,0.9,4.9
10449,08078,0.73,0.2,0.07,0.0,0.0,0.66,4.6
10450,08049,0.84,0.12,0.04,0.0,0.0,0.8,4.78
10451,08083,0.85,0.12,0.03,0.0,0.01,0.8,4.78
10452,08043,0.79,0.13,0.01,0.03,0.03,0.62,4.55
10453,08110,0.81,0.16,0.03,0.0,0.0,0.78,4.75
10454,08109,0.84,0.14,0.01,0.0,0.0,0.82,4.81
10455,08002,0.85,0.13,0.01,0.0,0.02,0.78,4.76
10456,07208,0.74,0.21,0.02,0.01,0.01,0.68,4.62
10457,08003,0.81,0.11,0.03,0.0,0.05,0.62,4.55
10458,08026,0.79,0.15,0.0,0.01,0.05,0.65,4.58
10459,07032,0.61,0.32,0.04,0.01,0.02,0.56,4.45
10460,"08802,08827",0.77,0.15,0.05,0.02,0.01,0.64,4.57
10461,07830,0.88,0.06,0.02,0.02,0.02,0.74,4.7
10462,08826,0.82,0.1,0.02,0.03,0.03,0.64,4.57
10463,08867,0.78,0.08,0.09,0.06,0.0,0.58,4.48
10464,08559,0.81,0.06,0.09,0.03,0.0,0.64,4.58
10465,08833,0.79,0.08,0.07,0.06,0.0,0.58,4.48
10466,08822,0.79,0.06,0.09,0.06,0.0,0.59,4.49
10467,08848,0.72,0.13,0.11,0.0,0.03,0.55,4.43
10468,08530,0.85,0.09,0.06,0.0,0.0,0.78,4.75
10469,07047,0.82,0.14,0.03,0.02,0.0,0.75,4.72
10470,07311,0.71,0.16,0.11,0.02,0.0,0.58,4.49
10471,08034,0.83,0.12,0.01,0.0,0.04,0.7,4.66
10472,08021,0.86,0.08,0.01,0.0,0.05,0.7,4.66
10473,08027,0.89,0.08,0.01,0.0,0.01,0.83,4.82
10474,08312,0.72,0.15,0.01,0.03,0.08,0.46,4.28
10475,08061,0.81,0.11,0.04,0.0,0.03,0.68,4.62
10476,08322,0.77,0.12,0.02,0.05,0.06,0.52,4.38
10477,08086,0.83,0.14,0.03,0.0,0.01,0.78,4.76
10478,"08056,08020",0.86,0.11,0.02,0.0,0.01,0.82,4.8
10479,08096,0.84,0.09,0.05,0.0,0.02,0.72,4.68
10480,07202,0.63,0.29,0.06,0.01,0.01,0.59,4.49
10481,08028,0.65,0.19,0.06,0.02,0.08,0.41,4.18
10482,08094,0.69,0.17,0.03,0.02,0.09,0.43,4.23
10483,08080,0.67,0.17,0.1,0.0,0.05,0.47,4.3
10484,07077,0.65,0.22,0.09,0.03,0.01,0.52,4.39
10485,07008,0.71,0.07,0.13,0.04,0.06,0.4,4.16
10486,07064,0.72,0.04,0.13,0.05,0.06,0.39,4.15
10487,07850,0.74,0.17,0.03,0.04,0.03,0.58,4.48
10488,07866,0.77,0.11,0.01,0.08,0.03,0.52,4.39
10489,07435,0.65,0.21,0.02,0.04,0.08,0.41,4.19
10490,07054,0.66,0.23,0.08,0.0,0.02,0.56,4.45
10491,07405,0.68,0.15,0.15,0.01,0.02,0.51,4.36
10492,07847,0.72,0.17,0.06,0.03,0.02,0.57,4.47
10493,07930,0.78,0.21,0.01,0.0,0.0,0.77,4.75
10494,08828,0.91,0.07,0.01,0.0,0.01,0.86,4.85
10495,08226,0.7,0.2,0.05,0.04,0.01,0.57,4.47
10496,07932,0.74,0.17,0.06,0.0,0.02,0.64,4.58
10497,07034,0.67,0.24,0.07,0.0,0.02,0.57,4.48
10498,07058,0.67,0.25,0.07,0.01,0.01,0.6,4.52
10499,07849,0.74,0.15,0.03,0.06,0.03,0.53,4.4
10500,07834,0.66,0.25,0.03,0.03,0.03,0.54,4.42
10501,07876,0.72,0.24,0.02,0.01,0.01,0.67,4.62
10502,07946,0.76,0.15,0.09,0.0,0.0,0.67,4.62
10503,07936,0.78,0.14,0.05,0.0,0.03,0.65,4.59
10504,07853,0.86,0.12,0.0,0.0,0.01,0.82,4.8
10505,07828,0.76,0.17,0.01,0.04,0.02,0.63,4.55
10506,07852,0.74,0.21,0.02,0.02,0.01,0.66,4.59
10507,07933,0.83,0.13,0.05,0.0,0.0,0.77,4.75
10508,07440,0.87,0.08,0.04,0.01,0.0,0.8,4.78
10509,07438,0.68,0.24,0.02,0.03,0.03,0.54,4.42
10510,07801,0.74,0.16,0.05,0.04,0.01,0.59,4.49
10511,07082,0.74,0.22,0.03,0.01,0.0,0.7,4.66
10512,08048,0.69,0.21,0.05,0.03,0.03,0.54,4.41
10513,08861,0.73,0.16,0.07,0.02,0.01,0.58,4.49
10514,08831,0.7,0.23,0.03,0.04,0.01,0.6,4.51
10515,07072,0.76,0.11,0.11,0.0,0.02,0.6,4.52
10516,07624,0.8,0.17,0.01,0.0,0.01,0.76,4.73
10517,07005,0.65,0.17,0.05,0.03,0.1,0.37,4.1
10518,07410,0.82,0.11,0.05,0.0,0.02,0.7,4.66
10519,07022,0.65,0.28,0.01,0.01,0.06,0.52,4.38
10520,08104,0.81,0.12,0.01,0.01,0.05,0.65,4.59
10521,07407,0.75,0.13,0.07,0.01,0.03,0.58,4.49
10522,07630,0.7,0.19,0.06,0.01,0.04,0.54,4.42
10523,07631,0.79,0.16,0.05,0.0,0.0,0.74,4.71
10524,07632,0.71,0.22,0.03,0.0,0.03,0.61,4.53
10525,07960,0.62,0.28,0.05,0.01,0.04,0.51,4.37
10526,07928,0.73,0.2,0.06,0.01,0.0,0.68,4.62
10527,07628,0.77,0.14,0.05,0.0,0.04,0.6,4.52
10528,08882,0.84,0.15,0.01,0.0,0.01,0.81,4.8
10529,08820,0.88,0.08,0.04,0.0,0.0,0.83,4.82
10530,08872,0.83,0.15,0.01,0.0,0.0,0.81,4.8
10531,08555,0.78,0.16,0.02,0.01,0.03,0.65,4.59
10532,07764,0.75,0.17,0.08,0.0,0.0,0.68,4.63
10533,08736,0.69,0.23,0.05,0.04,0.0,0.6,4.52
10534,07732,0.87,0.12,0.01,0.01,0.0,0.84,4.83
10535,07401,0.7,0.19,0.09,0.02,0.0,0.59,4.5
10536,07647,0.69,0.27,0.0,0.03,0.01,0.63,4.56
10537,07648,0.76,0.2,0.0,0.02,0.01,0.68,4.63
10538,07621,0.79,0.12,0.08,0.0,0.01,0.67,4.62
10539,08876,0.88,0.08,0.02,0.01,0.01,0.81,4.8
10540,07512,0.79,0.11,0.07,0.0,0.03,0.65,4.58
10541,08807,0.85,0.1,0.04,0.01,0.01,0.78,4.75
10542,07920,0.7,0.18,0.12,0.0,0.0,0.6,4.52
10543,07921,0.84,0.09,0.04,0.01,0.03,0.7,4.65
10544,08558,0.8,0.14,0.02,0.03,0.0,0.69,4.65
10545,07059,0.79,0.13,0.07,0.01,0.0,0.69,4.64
10546,08502,0.8,0.14,0.03,0.02,0.01,0.69,4.64
10547,08840,0.77,0.12,0.07,0.03,0.01,0.63,4.55
10548,08863,0.66,0.15,0.14,0.03,0.01,0.46,4.29
10549,08536,0.71,0.18,0.07,0.0,0.03,0.56,4.45
10550,07430,0.84,0.1,0.01,0.04,0.01,0.72,4.68
10551,07020,0.65,0.22,0.08,0.05,0.01,0.51,4.36
10552,08879,0.78,0.09,0.11,0.02,0.0,0.63,4.55
10553,08824,0.66,0.1,0.11,0.0,0.13,0.32,3.98
10554,08852,0.67,0.1,0.12,0.0,0.11,0.34,4.04
10555,07926,0.68,0.19,0.06,0.01,0.05,0.5,4.35
10556,07869,0.7,0.17,0.07,0.02,0.05,0.51,4.37
10557,07945,0.65,0.25,0.06,0.0,0.04,0.53,4.4
10558,07035,0.81,0.16,0.03,0.0,0.0,0.77,4.75
10559,07067,0.72,0.2,0.07,0.0,0.0,0.66,4.6
10560,08830,0.75,0.2,0.05,0.0,0.0,0.71,4.66
10561,08902,0.79,0.11,0.01,0.0,0.09,0.55,4.43
10562,07055,0.69,0.21,0.06,0.04,0.01,0.57,4.46
10563,08012,0.77,0.15,0.05,0.02,0.02,0.63,4.56
10564,08837,0.51,0.21,0.2,0.04,0.05,0.29,3.9
10565,07927,0.73,0.18,0.05,0.02,0.02,0.58,4.49
10566,08070,0.76,0.15,0.02,0.04,0.03,0.58,4.48
10567,08098,0.71,0.12,0.0,0.09,0.08,0.38,4.13
10568,08069,0.7,0.25,0.02,0.01,0.01,0.65,4.58
10569,08067,0.72,0.21,0.05,0.02,0.0,0.66,4.59
10570,"07201,07114",0.67,0.21,0.02,0.02,0.07,0.46,4.28
10571,07522,0.78,0.09,0.08,0.0,0.04,0.57,4.47
10572,07950,0.72,0.19,0.03,0.04,0.02,0.58,4.49
10573,07940,0.7,0.23,0.06,0.0,0.01,0.63,4.57
10574,08810,0.77,0.15,0.04,0.0,0.03,0.65,4.59
10575,08512,0.7,0.17,0.08,0.01,0.04,0.52,4.38
10576,08846,0.79,0.11,0.05,0.05,0.0,0.63,4.56
10577,07080,0.79,0.15,0.05,0.01,0.0,0.71,4.67
10578,08904,0.82,0.15,0.01,0.01,0.01,0.75,4.73
10579,07442,0.89,0.07,0.02,0.01,0.01,0.81,4.8
10580,08850,0.81,0.16,0.02,0.0,0.02,0.74,4.71
10581,08202,0.77,0.19,0.01,0.0,0.02,0.71,4.67
10582,08204,0.75,0.23,0.02,0.0,0.0,0.73,4.7
10583,08031,0.72,0.23,0.04,0.0,0.01,0.68,4.63
10584,08084,0.86,0.09,0.02,0.0,0.03,0.74,4.71
10585,08107,0.83,0.15,0.0,0.0,0.02,0.77,4.74
10586,07103,0.7,0.15,0.1,0.02,0.03,0.51,4.36
10587,08059,0.78,0.2,0.01,0.0,0.01,0.76,4.74
10588,07444,0.84,0.1,0.05,0.01,0.01,0.74,4.71
10589,07457,0.85,0.08,0.05,0.01,0.01,0.72,4.68
10590,08854,0.78,0.11,0.05,0.06,0.0,0.61,4.53
10591,08752,0.77,0.17,0.03,0.02,0.0,0.69,4.64
10592,08008,0.76,0.17,0.07,0.01,0.0,0.68,4.63
10593,08005,0.75,0.19,0.04,0.02,0.0,0.68,4.63
10594,07503,0.76,0.13,0.08,0.01,0.02,0.61,4.53
10595,07310,0.7,0.13,0.15,0.01,0.01,0.52,4.39
10596,07302,0.66,0.2,0.11,0.03,0.0,0.53,4.4
10597,07420,0.91,0.06,0.01,0.01,0.01,0.83,4.82
10598,07424,0.76,0.17,0.05,0.0,0.03,0.64,4.57
10599,07456,0.79,0.14,0.03,0.01,0.03,0.65,4.58
10600,07094,0.64,0.21,0.06,0.03,0.06,0.44,4.24
10601,08105,0.79,0.09,0.08,0.02,0.02,0.62,4.54
10602,08360,0.8,0.11,0.04,0.01,0.04,0.64,4.57
10603,07073,0.68,0.19,0.08,0.0,0.05,0.51,4.36
10604,07419,0.78,0.17,0.03,0.01,0.01,0.7,4.65
10605,07822,0.65,0.3,0.03,0.03,0.0,0.61,4.53
10606,07848,0.69,0.25,0.02,0.04,0.0,0.61,4.53
10607,07857,0.75,0.18,0.01,0.04,0.03,0.59,4.5
10608,07836,0.76,0.21,0.01,0.02,0.01,0.71,4.66
10609,07045,0.72,0.2,0.04,0.0,0.03,0.62,4.54
10610,07981,0.71,0.18,0.07,0.0,0.03,0.58,4.48
10611,07088,0.58,0.32,0.08,0.01,0.02,0.51,4.37
10612,07083,0.6,0.26,0.1,0.02,0.02,0.47,4.3
10613,07416,0.74,0.21,0.02,0.02,0.01,0.68,4.63
10614,07204,0.64,0.19,0.08,0.04,0.05,0.42,4.21
10615,07062,0.86,0.12,0.02,0.0,0.0,0.85,4.84
10616,08230,0.72,0.19,0.03,0.03,0.03,0.57,4.48
10617,08071,0.63,0.19,0.09,0.01,0.07,0.41,4.18
10618,08051,0.75,0.14,0.07,0.0,0.04,0.59,4.49
10619,07922,0.89,0.1,0.01,0.0,0.0,0.88,4.87
10620,07871,0.69,0.25,0.02,0.03,0.0,0.62,4.55
10621,07033,0.62,0.23,0.08,0.04,0.03,0.46,4.29
10622,07203,0.63,0.2,0.11,0.02,0.03,0.46,4.28
10623,07016,0.64,0.26,0.08,0.02,0.01,0.55,4.43
10624,07063,0.81,0.15,0.04,0.01,0.0,0.76,4.73
10625,07036,0.58,0.29,0.12,0.01,0.01,0.48,4.33
10626,07065,0.7,0.13,0.15,0.01,0.0,0.56,4.45
10627,07066,0.62,0.25,0.1,0.02,0.0,0.53,4.4
